SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;LOC_CODE;State_Code;State_Name;District_C;Dist_Name;Tehsil_Cod;Thsil_Name;Block_Code;Nyay_Panch;Village_Co;NAME_1;AREA;RES_HOUSE;HOUSEHOLDS;T_POPLN;T_M_POPLN;T_F_POPLN;POPLN_M6;POPLN_F6;M_SC;F_SC;M_ST;F_ST;M_LITERATE;F_LITERATE;T_M_WORKER;T_F_WORKER;M_INDCAT1;F_INDCAT1;M_INDCAT2;F_INDCAT2;M_INDCAT3;F_INDCAT3;M_INDCAT4;F_INDCAT4;M_INDCAT5A;F_INDCAT5A;M_INDCAT5B;F_INDCAT5B;M_INDCAT6;F_INDCAT6;M_INDCAT7;F_INDCAT7;M_INDCAT8;F_INDCAT8;M_INDCAT9;F_INDCAT9;M_MARGINAL;F_MARGINAL;M_NON_WORK;F_NON_WORK;State_Co_1;State_Na_1;District_1;Dist_Name_;Tehsil_C_1;Thsil_Na_1;Block_co_1;Village__1;Village_Na;MRGD_IN_TN;EDU_INST;RANG_EDU;P_SCH;M_SCH;H_SCH;PU_COLL;GR_COLL;IND_SCH;TR_SCH;ADLT_LT_CN;OTH_SCH;MED_INST;RANG_MED;H_CNTR;MCW_CNTR;MH_CNTR;CWC_CNTR;HC_CNTR;PHC_CNTR;PHS_CNTR;DISP_CNTR;FPC_CNTR;TB_CNTR;NH_CNTR;RP_CNTR;SMP_CNTR;CHW_CNTR;OTH_CNTR;DRNK_WAT;RANG_WAT;TAP;WELL;TANK;TUBE_WELL;HAND_PUMP;RIVER_WAT;FOUNTAIN;CANAL;LAKE;SPRING;NALA;OTH_FAC;PNT_FAC;RANG_PNT;PO;TO;PTO;PHONE;MRKT_FAC;RANG_MRKT;MK_MON;MKT_TUE;MK_WED;MK_THU;MK_FRI;MK_SAT;MK_SUN;MK_DAILY;MK_FORT;MK_MONTHLY;COMM_FAC;RANG_COMM;COMM_BS;TX_TEMP_FC;COMM_RS;COMM_NW;APP_PR;APP_KR;APP_NR;APP_NC;APP_NW;APP_FP;NEAR_TOWN;DIST_N_TWN;POWER_SUPL;POWER_ED;POWER_EAG;POWER_EO;POWER_EA;FOREST;IRR_GC;IRR_PC;IRR_W;IRR_WE;IRR_TW;IRR_TWE;IRR_TK;IRR_R;IRR_L;IRR_WF;IRR_O;IRR_TOTAL;UN_IRRIGAT;CULT_WASTE;N_AV_CULT;Area_vill_;HOUSEHOLD;TOT_POPLN;res_house_;FOUNT_IRR;NOT_AVAIL;loc_code_v;AGRI_LAND;ST_TOWN;CHK;CHC_CNTR
32;07;0002;00067100;3207000200067100;ANNAKARA;608103;608103;7e+16;32;Kerala;7;Thrissur;20;Chavakkad;20;20;12;Annakara;1058.82;1613;1695;8761;4164;4597;535;469;637;644;0;0;3207;3376;2000;1268;236;50;516;672;95;15;6;0;36;14;278;125;263;188;184;17;194;64;192;123;100;71;2064;3258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;07;0002;00066600;3207000200066600;EDAKKAZHIYUR;608104;608104;7e+16;32;Kerala;7;Thrissur;20;Chavakkad;20;20;5;Edakkazhiyur;724.96;2182;2191;14340;6781;7559;1236;1130;774;826;0;0;4876;5009;2374;743;150;15;246;235;646;12;6;2;51;23;103;235;152;26;559;17;160;10;301;168;65;48;4342;6768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;07;0002;00067000;3207000200067000;ELAVALLY;608105;608105;7e+16;32;Kerala;7;Thrissur;20;Chavakkad;20;20;11;Elavally;1060.76;2031;2053;10617;4940;5677;655;596;440;458;0;0;4058;4453;2218;1085;256;70;471;498;99;16;7;0;40;31;457;199;162;7;262;21;167;7;297;236;68;96;2654;4496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;07;0002;00067600;3207000200067600;ENGANDIYUR;608106;608106;7e+16;32;Kerala;7;Thrissur;20;Chavakkad;20;20;16;Engandiyur;1410.82;3874;3898;20756;9579;11177;1288;1325;2373;2520;4;4;7723;8551;3562;1108;291;28;482;219;798;42;19;13;25;47;260;110;230;62;658;60;312;52;487;475;216;339;5801;9730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;07;0002;00067400;3207000200067400;IRIMBRANALLUR;608107;608107;7e+16;32;Kerala;7;Thrissur;20;Chavakkad;20;20;13;Irimbranallur;645.75;803;806;4283;2051;2232;262;257;264;294;0;0;1705;1746;746;279;40;6;87;101;119;1;2;3;6;1;105;84;64;3;132;6;73;3;118;71;119;147;1186;1806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;07;0002;00066800;3207000200066800;KADAPPURAM;608108;608108;7e+16;32;Kerala;7;Thrissur;20;Chavakkad;20;20;7;Kadappuram;896.48;3218;3220;20715;9625;11090;1593;1530;1143;1178;0;0;7014;7457;3211;658;114;12;193;54;1228;38;11;1;12;24;184;259;100;15;771;19;247;33;351;203;106;58;6308;10374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;07;0002;00066200;3207000200066200;KADIKKAD;608109;608109;7e+16;32;Kerala;7;Thrissur;20;Talappilly;20;20;1;Kadikkad;925.27;2623;2653;16856;7931;8925;1332;1248;980;997;0;1;5862;6134;2931;1085;263;108;470;489;404;11;7;0;126;25;328;75;119;13;594;14;184;1;436;349;106;138;4894;7702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;07;0002;00067500;3207000200067500;KUNDAZHIYUR;608110;608110;7e+16;32;Kerala;7;Thrissur;20;Chavakkad;20;20;15;Kundazhiyur;649.99;1915;1933;11655;5441;6214;785;730;1271;1348;0;0;4282;4518;1961;726;177;18;333;290;387;24;7;2;47;16;184;156;83;6;370;13;114;27;259;174;168;196;3312;5292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;07;0002;00067200;3207000200067200;MULLASSERY;608111;608111;7e+16;32;Kerala;7;Thrissur;20;Chavakkad;20;20;9;Mullassery;711.57;2150;2168;11192;5195;5997;768;603;887;952;0;0;4219;4720;2100;975;269;49;410;369;140;2;9;0;16;3;244;222;151;10;330;24;169;4;362;292;73;65;3022;4957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;07;0002;00067900;3207000200067900;NATTIKA;608112;608112;7e+16;32;Kerala;7;Thrissur;20;Chavakkad;20;20;19;Nattika;960.16;3614;3642;19192;9072;10120;1138;1118;1915;1979;0;0;7526;7898;3839;1180;322;125;312;162;743;31;28;2;87;229;461;103;197;49;813;52;329;12;547;415;100;133;5133;8807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
