SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;LOC_CODE;State_Code;State_Name;District_C;Dist_Name;Tehsil_Cod;Thsil_Name;Block_Code;Nyay_Panch;Village_Co;NAME_1;AREA;RES_HOUSE;HOUSEHOLDS;T_POPLN;T_M_POPLN;T_F_POPLN;POPLN_M6;POPLN_F6;M_SC;F_SC;M_ST;F_ST;M_LITERATE;F_LITERATE;T_M_WORKER;T_F_WORKER;M_INDCAT1;F_INDCAT1;M_INDCAT2;F_INDCAT2;M_INDCAT3;F_INDCAT3;M_INDCAT4;F_INDCAT4;M_INDCAT5A;F_INDCAT5A;M_INDCAT5B;F_INDCAT5B;M_INDCAT6;F_INDCAT6;M_INDCAT7;F_INDCAT7;M_INDCAT8;F_INDCAT8;M_INDCAT9;F_INDCAT9;M_MARGINAL;F_MARGINAL;M_NON_WORK;F_NON_WORK;State_Co_1;State_Na_1;District_1;Dist_Name_;Tehsil_C_1;Thsil_Na_1;Block_co_1;Village__1;Village_Na;MRGD_IN_TN;EDU_INST;RANG_EDU;P_SCH;M_SCH;H_SCH;PU_COLL;GR_COLL;IND_SCH;TR_SCH;ADLT_LT_CN;OTH_SCH;MED_INST;RANG_MED;H_CNTR;MCW_CNTR;MH_CNTR;CWC_CNTR;HC_CNTR;PHC_CNTR;PHS_CNTR;DISP_CNTR;FPC_CNTR;TB_CNTR;NH_CNTR;RP_CNTR;SMP_CNTR;CHW_CNTR;OTH_CNTR;DRNK_WAT;RANG_WAT;TAP;WELL;TANK;TUBE_WELL;HAND_PUMP;RIVER_WAT;FOUNTAIN;CANAL;LAKE;SPRING;NALA;OTH_FAC;PNT_FAC;RANG_PNT;PO;TO;PTO;PHONE;MRKT_FAC;RANG_MRKT;MK_MON;MKT_TUE;MK_WED;MK_THU;MK_FRI;MK_SAT;MK_SUN;MK_DAILY;MK_FORT;MK_MONTHLY;COMM_FAC;RANG_COMM;COMM_BS;TX_TEMP_FC;COMM_RS;COMM_NW;APP_PR;APP_KR;APP_NR;APP_NC;APP_NW;APP_FP;NEAR_TOWN;DIST_N_TWN;POWER_SUPL;POWER_ED;POWER_EAG;POWER_EO;POWER_EA;FOREST;IRR_GC;IRR_PC;IRR_W;IRR_WE;IRR_TW;IRR_TWE;IRR_TK;IRR_R;IRR_L;IRR_WF;IRR_O;IRR_TOTAL;UN_IRRIGAT;CULT_WASTE;N_AV_CULT;Area_vill_;HOUSEHOLD;TOT_POPLN;res_house_;FOUNT_IRR;NOT_AVAIL;loc_code_v;AGRI_LAND;ST_TOWN;CHK;CHC_CNTR
14;07;0002;00168200;1407000200168200;Makeng Chonglou;259622;259622;7e+16;14;Manipur;7;IMPHAL;20;IMPHAL EAST II;20;20;3;MAKENG CHONGLOU;0;201;204;1607;896;711;197;131;0;0;60;43;363;131;352;5;298;3;0;0;0;0;0;0;0;0;0;0;1;1;3;0;1;0;49;1;0;207;544;499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;07;0002;00168100;1407000200168100;Matakhong;259628;259628;7e+16;14;Manipur;7;IMPHAL;20;IMPHAL EAST II;20;20;2;MATAKHONG;0;41;42;310;154;156;34;34;0;0;1;0;72;58;60;1;49;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;1;0;43;94;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;07;0002;00168300;1407000200168300;Makeng Ngunlou;259629;259629;7e+16;14;Manipur;7;IMPHAL;20;IMPHAL EAST II;20;20;4;MAKENG NUNGLOU;0;155;157;1055;565;490;99;103;0;0;3;0;253;125;229;5;198;4;0;0;0;0;0;0;2;1;0;0;0;0;3;0;0;0;26;0;3;196;333;289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;07;0002;00168000;1407000200168000;Khongjil Khongjal;259630;259630;7e+16;14;Manipur;7;IMPHAL;20;IMPHAL EAST II;20;20;1;KHONGJIL KHONGJAI;0;47;48;334;169;165;34;40;0;0;1;0;71;15;72;0;63;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;0;51;97;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;07;0002;00168700;1407000200168700;Sadu Koireng;259633;259633;7e+16;14;Manipur;7;IMPHAL;20;IMPHAL EAST II;20;20;6;SADU KOIRENG;0;90;91;567;297;270;62;46;0;0;2;0;175;74;114;50;93;2;6;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;183;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;07;0002;00168500;1407000200168500;Thangal Surung;259634;259634;7e+16;14;Manipur;7;IMPHAL;20;IMPHAL EAST II;20;20;5;THANGAL SURUNG;0;79;80;463;261;202;44;45;0;0;8;3;169;72;111;60;39;23;43;36;0;0;0;0;4;0;1;0;0;0;5;1;0;0;19;0;0;0;150;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;07;0002;00168900;1407000200168900;Sadu Longa Koireng;259639;259639;7e+16;14;Manipur;7;IMPHAL;20;IMPHAL EAST II;20;20;8;SADU LONGA KOIRENG;0;52;53;323;151;172;20;48;0;0;12;21;90;50;67;11;55;5;0;3;0;0;0;0;0;1;2;1;0;0;0;1;0;0;10;0;0;0;84;161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;07;0002;00168800;1407000200168800;Purum Khunou;259640;259640;7e+16;14;Manipur;7;IMPHAL;20;IMPHAL EAST II;20;20;7;PURUM KHUNOU;0;45;46;342;171;171;31;26;0;0;1;0;74;50;72;50;44;7;7;41;0;0;0;0;1;0;4;0;0;0;4;2;1;0;11;0;0;0;99;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;06;0001;00150700;1406000100150700;Kanglatongbi;259641;259641;7e+16;14;Manipur;7;IMPHAL;30;IMPHAL WEST I;30;30;15;KANGLATONGBI;0;606;620;3648;1888;1760;267;265;22;27;92;69;1242;822;843;758;614;441;7;120;1;0;0;0;18;164;5;0;2;0;28;8;20;1;148;24;3;4;1042;998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;07;0002;00169000;1407000200169000;Purum Likli(Leitanpokpi);259642;259642;7e+16;14;Manipur;7;IMPHAL;20;IMPHAL EAST II;20;20;92;LEITANPOKPI;0;140;142;846;428;418;72;93;0;0;2;0;132;67;210;7;187;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1;3;117;215;294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
