SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;LOC_CODE;State_Code;State_Name;District_C;Dist_Name;Tehsil_Cod;Thsil_Name;Block_Code;Nyay_Panch;Village_Co;NAME_1;AREA;RES_HOUSE;HOUSEHOLDS;T_POPLN;T_M_POPLN;T_F_POPLN;POPLN_M6;POPLN_F6;M_SC;F_SC;M_ST;F_ST;M_LITERATE;F_LITERATE;T_M_WORKER;T_F_WORKER;M_INDCAT1;F_INDCAT1;M_INDCAT2;F_INDCAT2;M_INDCAT3;F_INDCAT3;M_INDCAT4;F_INDCAT4;M_INDCAT5A;F_INDCAT5A;M_INDCAT5B;F_INDCAT5B;M_INDCAT6;F_INDCAT6;M_INDCAT7;F_INDCAT7;M_INDCAT8;F_INDCAT8;M_INDCAT9;F_INDCAT9;M_MARGINAL;F_MARGINAL;M_NON_WORK;F_NON_WORK;State_Co_1;State_Na_1;District_1;Dist_Name_;Tehsil_C_1;Thsil_Na_1;Block_co_1;Village__1;Village_Na;MRGD_IN_TN;EDU_INST;RANG_EDU;P_SCH;M_SCH;H_SCH;PU_COLL;GR_COLL;IND_SCH;TR_SCH;ADLT_LT_CN;OTH_SCH;MED_INST;RANG_MED;H_CNTR;MCW_CNTR;MH_CNTR;CWC_CNTR;HC_CNTR;PHC_CNTR;PHS_CNTR;DISP_CNTR;FPC_CNTR;TB_CNTR;NH_CNTR;RP_CNTR;SMP_CNTR;CHW_CNTR;OTH_CNTR;DRNK_WAT;RANG_WAT;TAP;WELL;TANK;TUBE_WELL;HAND_PUMP;RIVER_WAT;FOUNTAIN;CANAL;LAKE;SPRING;NALA;OTH_FAC;PNT_FAC;RANG_PNT;PO;TO;PTO;PHONE;MRKT_FAC;RANG_MRKT;MK_MON;MKT_TUE;MK_WED;MK_THU;MK_FRI;MK_SAT;MK_SUN;MK_DAILY;MK_FORT;MK_MONTHLY;COMM_FAC;RANG_COMM;COMM_BS;TX_TEMP_FC;COMM_RS;COMM_NW;APP_PR;APP_KR;APP_NR;APP_NC;APP_NW;APP_FP;NEAR_TOWN;DIST_N_TWN;POWER_SUPL;POWER_ED;POWER_EAG;POWER_EO;POWER_EA;FOREST;IRR_GC;IRR_PC;IRR_W;IRR_WE;IRR_TW;IRR_TWE;IRR_TK;IRR_R;IRR_L;IRR_WF;IRR_O;IRR_TOTAL;UN_IRRIGAT;CULT_WASTE;N_AV_CULT;Area_vill_;HOUSEHOLD;TOT_POPLN;res_house_;FOUNT_IRR;NOT_AVAIL;loc_code_v;AGRI_LAND;ST_TOWN;CHK;CHC_CNTR
15;02;;;;SAIPHAI;260145;260145;1.01e+16;15;Mizoram;1;Aizawl;50;NORTH THINGDAWL;50;50;6;SAIPHAI;0;155;155;931;514;417;107;84;0;0;462;415;353;268;283;141;182;138;2;0;0;0;0;0;0;0;3;0;0;0;2;1;0;0;94;2;2;3;229;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;02;;;;MAUCHAR;260147;260147;1.01e+16;15;Mizoram;1;Aizawl;60;DARLAWN;60;60;1;MAUCHAR;0;85;85;535;271;264;68;56;0;0;271;264;174;167;107;78;95;75;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;12;2;0;0;164;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;02;;;;KANI;260148;260148;1.01e+16;15;Mizoram;1;Aizawl;60;DARLAWN;60;60;2;KANI;0;9;9;58;25;33;4;8;0;0;25;33;13;8;13;15;13;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;02;;;;BILKHAWTHLIR;260150;260150;1.01e+16;15;Mizoram;1;Aizawl;50;NORTH THINGDAWL;50;50;10;BILKHAWTHLIR;0;573;573;3418;1798;1620;304;344;51;0;1589;1603;1326;1168;929;253;453;186;10;0;5;2;0;0;14;3;6;1;6;0;16;22;25;0;394;39;27;81;842;1286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;02;;;;TINGHMUN;260151;260151;1.01e+16;15;Mizoram;1;Aizawl;60;DARLAWN;60;60;3;TINGHMUN;0;128;128;774;394;380;97;91;0;0;394;380;232;187;167;140;151;133;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;14;6;0;0;227;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;02;;;;BUHCHANG;260152;260152;1.01e+16;15;Mizoram;1;Aizawl;50;NORTH THINGDAWL;50;50;12;BUHCHANG;0;121;121;736;395;341;79;85;0;0;342;341;226;170;212;89;140;75;3;10;0;0;0;0;0;0;0;0;0;0;1;1;0;0;68;3;0;0;183;252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;02;;;;PALSANG;260155;260155;1.01e+16;15;Mizoram;1;Aizawl;60;DARLAWN;60;60;5;PALSANG;0;69;69;411;204;207;48;47;0;0;204;207;132;146;97;82;90;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;107;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;03;;;;ZOHMUN;260156;260156;1.01e+16;15;Mizoram;1;Aizawl;60;DARLAWN;60;60;4;ZOHMUN;0;166;166;958;467;491;110;97;0;0;467;491;294;277;194;160;146;133;1;2;0;0;0;0;0;0;1;0;0;0;4;4;2;0;40;21;2;21;271;310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;03;;;;VAITIN;260159;260159;1.01e+16;15;Mizoram;1;Aizawl;60;DARLAWN;60;60;9;VAITIN;0;124;124;729;381;348;73;71;0;0;376;348;279;244;193;132;141;123;9;3;0;0;0;0;1;0;1;0;0;0;2;0;0;0;39;6;0;0;188;216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;01;;;;HRIPHAW;260160;260160;1e+16;15;Mizoram;1;Aizawl;10;ZAWLNUAM;10;10;6;HRIPHAW;0;157;157;904;420;484;74;107;0;0;420;484;200;172;242;255;229;248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;7;0;0;178;229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;01;;;;KANHMUN;260162;260162;1e+16;15;Mizoram;1;Aizawl;10;ZAWLNUAM;10;10;1;KANHMUN;0;232;232;1234;650;584;136;109;0;0;613;564;408;359;306;164;191;123;28;19;3;2;0;0;1;0;0;0;1;1;6;1;3;0;73;18;18;124;326;296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;02;;;;PANGBALKAWN;260166;260166;1.01e+16;15;Mizoram;1;Aizawl;50;NORTH THINGDAWL;50;50;26;PANGBALKAWN;0;60;60;188;109;79;12;13;0;0;107;79;90;53;69;50;61;50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;40;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;01;;;;BUNGTHUAM;260167;260167;1e+16;15;Mizoram;1;Aizawl;10;ZAWLNUAM;10;10;7;BUNGTHUAM;0;119;119;676;348;328;70;64;0;0;347;326;209;191;150;141;111;112;22;24;0;0;0;0;1;0;2;0;0;0;2;1;2;0;10;4;1;2;197;185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
