SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;LOC_CODE;State_Code;State_Name;District_C;Dist_Name;Tehsil_Cod;Thsil_Name;Block_Code;Nyay_Panch;Village_Co;NAME_1;AREA;RES_HOUSE;HOUSEHOLDS;T_POPLN;T_M_POPLN;T_F_POPLN;POPLN_M6;POPLN_F6;M_SC;F_SC;M_ST;F_ST;M_LITERATE;F_LITERATE;T_M_WORKER;T_F_WORKER;M_INDCAT1;F_INDCAT1;M_INDCAT2;F_INDCAT2;M_INDCAT3;F_INDCAT3;M_INDCAT4;F_INDCAT4;M_INDCAT5A;F_INDCAT5A;M_INDCAT5B;F_INDCAT5B;M_INDCAT6;F_INDCAT6;M_INDCAT7;F_INDCAT7;M_INDCAT8;F_INDCAT8;M_INDCAT9;F_INDCAT9;M_MARGINAL;F_MARGINAL;M_NON_WORK;F_NON_WORK;State_Co_1;State_Na_1;District_1;Dist_Name_;Tehsil_C_1;Thsil_Na_1;Block_co_1;Village__1;Village_Na;MRGD_IN_TN;EDU_INST;RANG_EDU;P_SCH;M_SCH;H_SCH;PU_COLL;GR_COLL;IND_SCH;TR_SCH;ADLT_LT_CN;OTH_SCH;MED_INST;RANG_MED;H_CNTR;MCW_CNTR;MH_CNTR;CWC_CNTR;HC_CNTR;PHC_CNTR;PHS_CNTR;DISP_CNTR;FPC_CNTR;TB_CNTR;NH_CNTR;RP_CNTR;SMP_CNTR;CHW_CNTR;OTH_CNTR;DRNK_WAT;RANG_WAT;TAP;WELL;TANK;TUBE_WELL;HAND_PUMP;RIVER_WAT;FOUNTAIN;CANAL;LAKE;SPRING;NALA;OTH_FAC;PNT_FAC;RANG_PNT;PO;TO;PTO;PHONE;MRKT_FAC;RANG_MRKT;MK_MON;MKT_TUE;MK_WED;MK_THU;MK_FRI;MK_SAT;MK_SUN;MK_DAILY;MK_FORT;MK_MONTHLY;COMM_FAC;RANG_COMM;COMM_BS;TX_TEMP_FC;COMM_RS;COMM_NW;APP_PR;APP_KR;APP_NR;APP_NC;APP_NW;APP_FP;NEAR_TOWN;DIST_N_TWN;POWER_SUPL;POWER_ED;POWER_EAG;POWER_EO;POWER_EA;FOREST;IRR_GC;IRR_PC;IRR_W;IRR_WE;IRR_TW;IRR_TWE;IRR_TK;IRR_R;IRR_L;IRR_WF;IRR_O;IRR_TOTAL;UN_IRRIGAT;CULT_WASTE;N_AV_CULT;Area_vill_;HOUSEHOLD;TOT_POPLN;res_house_;FOUNT_IRR;NOT_AVAIL;loc_code_v;AGRI_LAND;ST_TOWN;CHK;CHC_CNTR
11;04;0003;00044700;1104000300044700;TARPIN;258964;258964;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;16;	Tarpin;435.31;204;204;1160;613;547;117;93;25;22;5;2;359;234;267;58;117;19;78;26;22;4;0;0;0;0;2;0;7;0;3;1;4;0;34;8;2;24;344;465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00044600;1104000300044600;MULUKEY;258965;258965;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;17;	Mulukey;244.52;99;99;521;272;249;50;56;0;0;2;9;83;50;156;53;143;45;6;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;3;24;86;92;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00044800;1104000300044800;RHENAK;258966;258966;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;18;	Rhenock;399.7;643;646;3483;1853;1630;287;295;211;199;216;224;1224;812;935;279;132;74;227;97;23;3;0;0;22;1;54;2;64;12;216;20;46;1;151;69;2;108;916;1243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00044500;1104000300044500;SUDUNGLAKHA;258967;258967;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;19;	Sudunglak;258.09;131;131;682;360;322;47;61;9;5;13;16;147;79;187;156;122;116;43;35;2;0;0;0;0;0;0;0;7;0;3;1;1;0;9;4;0;0;173;166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00044900;1104000300044900;ARITAR;258968;258968;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;20;	Aritar;697.4;509;510;2746;1412;1334;217;217;65;71;218;180;880;659;681;510;443;446;71;29;9;1;0;0;1;0;8;0;34;0;14;3;8;1;93;30;3;35;728;789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00044400;1104000300044400;DHOLEPCHEN;258969;258969;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;21;	Dolepchan;598.95;420;420;1996;1060;936;171;181;62;46;56;54;579;398;533;218;293;156;43;14;9;0;0;0;7;0;0;0;130;32;0;3;4;0;47;13;8;159;519;559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00044300;1104000300044300;CHUJACHEN;258970;258970;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;27;	Chujachen;777.14;580;581;3051;1701;1350;237;257;106;98;171;184;962;528;899;274;411;207;68;14;25;3;0;0;3;0;32;0;129;1;103;9;18;1;110;39;1;6;801;1070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00043900;1104000300043900;SUBANEDARA;258971;258971;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;28;	Subaneyda;550.35;180;180;1050;530;520;86;98;15;14;95;103;217;177;269;191;227;166;14;15;0;0;0;0;0;0;0;0;2;0;0;0;1;0;25;10;0;9;261;320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00044200;1104000300044200;CHANGEYLAKHA;258972;258972;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;29;	Changey-l;194.98;92;92;488;242;246;51;67;4;6;6;13;111;79;123;53;76;30;29;14;0;0;0;0;0;0;0;0;5;0;1;3;0;0;12;6;0;0;119;193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00044100;1104000300044100;SOUTH RHEGOH;258973;258973;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;30;	South Rhe;738.79;83;83;472;235;237;46;58;0;0;24;25;94;74;136;108;90;72;38;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;0;99;129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
